id|sid|name|etype
815|69|57 - 67 KG|w
816|69|58 - 68 KG|m
817|69|68 - 80 KG|m
818|70|Individual|m
819|70|Individual|w
820|24|+ 105KG|m
821|24|+ 75KG|w
822|24|105KG|m
823|24|48KG|w
824|24|53KG|w
825|24|56KG|m
826|24|58KG|w
827|24|62KG|m
828|24|63KG|w
829|24|69KG|m
830|24|69KG|w
831|24|75KG|w
832|24|77KG|m
833|24|85KG|m
834|24|94KG|m
835|43|48 - 54KG|m
836|43|54 - 58KG|m
837|43|58 - 63KG|m
838|43|63 - 69KG|m
839|43|69 - 76KG|m
840|43|76 - 85KG|m
841|43|85 - 97KG|m
842|43|97 - 130KG|m
843|25|48 - 54KG|m
844|25|54 - 58KG|m
845|25|58 - 63KG|m
846|25|63 - 69KG|m
847|25|69 - 76KG|m
848|25|76 - 85KG|m
849|25|85 - 97KG|m
850|25|97 - 130KG|m
851|40|48KG (Light Flywieght)|m
852|40|60 - 64 KG|m
853|40|64 - 69 KG|m
854|40|69 - 75 KG|m
855|19|Team Sprint|m
856|20|Sabre Individual|w
857|57|- 48 KG|w
858|37|Star - Keelboat|m
859|37|Yngling - Keelboat|w
860|43|- 48KG|w
861|43|- 55KG|m
862|43|48 - 55KG|w
863|43|55 - 60KG|m
864|43|55 - 63KG|w
865|43|60 - 66KG|m
866|43|63 - 72KG|w
867|43|66 - 74KG|m
868|43|74 - 84KG|m
869|43|84 - 96KG|m
870|43|96 - 120KG|m
871|25|- 55KG|m
872|25|55 - 60KG|m
873|25|60 - 66KG|m
874|25|66 - 74KG|m
875|25|74 - 84KG|m
876|25|84 - 96KG|m
877|25|96 - 120KG|m
878|16|Marathon 10KM|m
879|16|Marathon 10KM|w
880|17|3000M Steeplechase|w
881|71|Individual|m
882|71|Individual|w
883|20|Sabre Team|w
884|37|Finn - Heavyweight Dinghy|m
885|37|Laser - One Person Dinghy|m
886|37|Laser Radial - One Person Dinghy|w
887|37|Rs:X - Windsurfer|m
888|37|Rs:X - Windsurfer|w
889|62|Team|m
890|62|Team|w
891|39|Synchronized 10M|m
892|39|Synchronized 10M|w
893|39|Synchronized 3M|m
894|39|Synchronized 3M|w
895|72|10KM|m
896|72|10KM|w
897|16|200M Medley|m
898|16|200M Medley|w
899|16|400M Medley|m
900|16|400M Medley|w
901|16|4X100M Freestyle|m
902|16|4X100M Freestyle|w
903|16|4X100M Medley|m
904|16|4X100M Medley|w
905|16|4X200M Freestyle|m
906|16|4X200M Freestyle|w
907|73|Duet|w
908|73|Team|w
909|74|Water Polo|m
910|74|Water Polo|w
911|27|Individual|m
912|27|Individual|w
913|27|Team|m
914|27|Team|w
915|17|3000M Steeple|m
916|17|3000M Steeple|w
917|40|+ 91KG|m
918|40|46 - 49KG|m
919|40|51 KG|w
920|40|52KG|m
921|40|56KG|m
922|40|57 - 60KG|m
923|40|60 KG|w
924|40|75 - 81KG|m
925|40|75 KG|w
926|40|81 - 91KG|m
927|75|C-1 (Single)|m
928|75|C-2 (Double)|m
929|75|K-1 (Single)|m
930|75|K-1 (Single)|w
931|76|C-1 1000M|m
932|76|C-1 200M|m
933|76|C-2 1000M|m
934|76|K-1 1000M|m
935|76|K-1 200M|m
936|76|K-1 200M|w
937|76|K-1 500M|w
938|76|K-2 1000M|m
939|76|K-2 200M|m
940|76|K-2 500M|w
941|76|K-4 1000M|m
942|76|K-4 500M|w
943|77|Individual|m
944|77|Individual|w
945|18|Individual Road|m
946|18|Individual Road|w
947|18|Time Trial|m
948|18|Time Trial|w
949|19|Keirin|w
950|19|Omnium|m
951|19|Omnium|w
952|19|Sprint|m
953|19|Team Pursuit|m
954|19|Team Pursuit|w
955|19|Team Sprint|w
956|78|Beam|w
957|78|Floor Exercises|m
958|78|Floor Exercises|w
959|78|Horizontal Bar|m
960|78|Individual All-Around|m
961|78|Individual All-Around|w
962|78|Parallel Bars|m
963|78|Pommel Horse|m
964|78|Rings|m
965|78|Team Competition|m
966|78|Team Competition|w
967|78|Uneven Bars|w
968|78|Vault|m
969|78|Vault|w
970|79|Group Competition|w
971|79|Individual All-Around|w
972|57|+ 100KG|m
973|57|+ 78KG|w
974|57|48 - 52KG|w
975|57|52 - 57KG|w
976|57|57 - 63KG|w
977|57|60 - 66KG|m
978|57|63 - 70KG|w
979|57|66 - 73KG|m
980|57|70 - 78KG|w
981|57|73 - 81KG|m
982|57|81 - 90KG|m
983|57|90 - 100KG|m
984|80|Individual|m
985|80|Individual|w
986|35|Coxless Four|m
987|35|Coxless Pair 2-|m
988|35|Coxless Pair 2-|w
989|35|Double Sculls|m
990|35|Double Sculls|w
991|35|Eight With Coxswain|m
992|35|Eight With Coxswain|w
993|35|Lightweight 4|m
994|35|Lightweight Doubles|m
995|35|Lightweight Doubles|w
996|35|Quadruple Sculls|m
997|35|Quadruple Sculls|w
998|35|Single Sculls|m
999|35|Single Sculls|w
1000|37|470|m
1001|37|470|w
1002|37|Elliott 6M|w
1003|37|Finn|m
1004|37|Laser|m
1005|37|Laser Radial|w
1006|37|Rs:X|m
1007|37|Rs:X|w
1008|37|Star|m
1009|22|10M Air Pistol|m
1010|22|10M Air Pistol|w
1011|22|10M Air Rifle|m
1012|22|10M Air Rifle|w
1013|22|25M Pistol|w
1014|22|25M Rapid Pistol|m
1015|22|50M Pistol|m
1016|22|50M Rifle 3 Positions|m
1017|22|50M Rifle 3 Positions|w
1018|22|50M Rifle Prone|m
1019|22|Double Trap 150|m
1020|22|Skeet|m
1021|22|Skeet|w
1022|22|Trap|m
1023|22|Trap|w
1024|81|Beach Volleyball|m
1025|81|Beach Volleyball|w
1026|24|+105KG|m
1027|24|+75KG|w
1028|24|-56KG|m
1029|82|Wf 120KG|m
1030|82|Wf 48 KG|w
1031|82|Wf 55 KG|m
1032|82|Wf 55 KG|w
1033|82|Wf 60 KG|m
1034|82|Wf 63 KG|w
1035|82|Wf 66 KG|m
1036|82|Wf 72 KG|w
1037|82|Wf 74 KG|m
1038|82|Wf 84 KG|m
1039|82|Wf 96 KG|m
1040|82|Wg 120 KG|m
1041|82|Wg 55 KG|m
1042|82|Wg 60 KG|m
1043|82|Wg 66 KG|m
1044|82|Wg 74 KG|m
1045|82|Wg 84 KG|m
1046|82|Wg 96 KG|m
