id|sid|name|etype
170|22|50M Pistol (60 Shots)|m
171|22|Army Rifle, 200M|m
172|22|Army Rifle, 300M|m
173|23|Doubles|m
174|23|Singles|m
175|24|Heavyweight - One Hand Lift|m
176|24|Heavyweight - Two Hand Lift|m
177|25|Open Event|m
178|16|1500M Freestyle|m
179|16|200M Backstroke|m
180|16|200M Freestyle|m
181|16|200M Obstacle Event|m
182|16|200M Team Swimming|m
183|16|4000M Freestyle|m
184|16|Underwater Swimming|m
185|26|Water Polo|m
186|27|Au Chapelet, 33M|m
187|27|Au Chapelet, 50M|m
188|27|Au Cordon Dore, 33M|m
189|27|Au Cordon Dore, 50M|m
190|27|Sur La Perche A La Herse|m
191|27|Sur La Perche A La Pyramide|m
192|17|200M|m
193|17|200M Hurdles|m
194|17|3000M Steeplechase|m
195|17|4000M Steeplechase|m
196|17|400M Hurdles|m
197|17|5000M Team|m
198|17|60M|m
199|17|Hammer Throw|m
200|17|High Jump, Standing|m
201|17|Long Jump, Standing|m
202|17|Triple Jump, Standing|m
203|28|Cesta Punta|m
204|29|Cricket|m
205|30|Double|m
206|30|Individual 1 Ball|m
207|30|Individual 2 Balls|m
208|19|25 Kilometres|m
209|31|High Jump|m
210|31|Individual|m
211|31|Long Jump Individual|m
212|20|Epee Individual|m
213|20|Epee, Amateurs And Masters|m
214|20|Epee, Masters|m
215|20|Sabre, Masters|m
216|32|Football|m
217|33|Individual|m
218|33|Individual|w
219|21|Individual All-Round|m
220|34|Polo|m
221|35|Eight With Coxswain (8+)|m
222|35|Four-Oared Shell With Coxswain (4-)|m
223|35|Pair-Oared Shell With Coxswain (2+)|m
224|35|Single Sculls (1X)|m
225|36|Rugby|m
226|37|0.5-1T|m
227|37|10-20T|m
228|37|3-10T|m
229|37|Open Class|m
230|22|50M Army Pistol, Team|m
231|22|Army Rifle, 300M, 3 Positions|m
232|22|Army Rifle, 300M, Kneeling|m
233|22|Army Rifle, 300M, Prone|m
234|22|Army Rifle, 300M, Standing|m
235|22|Free Rifle, Team|m
236|22|Trap (125 Targets)|m
237|23|Mixed Doubles|m
238|23|Mixed Doubles|w
239|23|Singles|w
240|38|Tug Of War|m
241|39|10M Platform|m
242|39|Plunge For Distance|m
243|16|100M Backstroke|m
244|16|400M Breaststroke|m
245|16|4X50Y Freestyle Relay|m
246|16|50Y Freestyle (45.72M)|m
247|16|880Y Freestyle (804.66M)|m
248|27|Double American Round (60Y - 50Y - 40Y)|m
249|27|Double Columbia Round (50Y - 40Y - 30Y)|w
250|27|Double National Round (60Y - 50Y)|w
251|27|Double York Round (100Y - 80Y - 60Y)|m
252|27|Team Round 60Y|m
253|27|Teams Fita Round|w
254|17|4Miles Team|m
255|17|56LB Weight Throw (25.4KG)|m
256|17|Decathlon|m
257|17|Triathlon (Long Jump / Shot Put / 100 Yards)|m
258|40|- 47.63KG (Flyweight)|m
259|40|+ 71.67KG (Heavyweight)|m
260|40|47.63 - 52.16KG (Bantamweight)|m
261|40|52.16 - 56.7KG (Featherweight)|m
262|40|56.7 - 61.24KG (Lightweight)|m
263|40|61.24 - 65.77KG (Welterweight)|m
264|40|65.77 - 71.67KG (Middleweight)|m
265|19|1 Mile (1609.3M)|m
266|19|1/2 Mile (804.7M)|m
267|19|1/3 Mile (536.5M)|m
268|19|1/4 Mile (402.3M)|m
269|19|2 Miles (3.218KM)|m
270|19|25 Miles (40.232KM)|m
271|19|5 Miles (8.046KM)|m
272|20|Foil Team|m
273|20|Stick, Single|m
274|33|Team|m
275|21|Club Swinging|m
276|21|Combined 3 Events|m
277|21|Combined 4 Events|m
278|21|Team Competition|m
279|41|Lacrosse|m
280|42|Individual|m
281|35|Coxless Pair (2-)|m
282|35|Double Sculls (2X)|m
283|35|Four Without Coxswain (4-)|m
284|24|All-Around Dumbbell Contest|m
285|43|- 47.6KG (Light-Flyweight)|m
286|43|+ 71.67KG (Heavyweight)|m
287|43|47.6 - 52.16KG (Flyweight)|m
288|43|52.16 - 56.7KG (Bantamweight)|m
289|43|56.7 - 61.23KG (Featherweight)|m
290|43|61.23 - 65.77KG (Lightweight)|m
291|43|65.77 - 71.67KG (Welterweight)|m
292|39|3M Springboard|m
293|16|200M Breaststroke|m
294|16|4X200M Freestyle Relay|m
295|27|Continental Style 50M|m
296|27|National Round (60Y - 50Y)|w
297|27|York Round (100Y - 80Y - 60Y)|m
298|17|10Miles Walk (16093M)|m
299|17|3200M Steeplechase|m
300|17|3500M Walk|m
301|17|3Miles Team (4828M)|m
302|17|4X400M Relay|m
303|17|5 Miles (8047M)|m
304|17|Discus Throw Ancient Style|m
305|17|Javelin Throw|m
306|17|Javelin Throw Freestyle|m
307|40|- 52.62KG (Bantamweight)|m
308|40|52.62 - 57.15KG (Featherweight)|m
